borrower_id,repayment_probability,risk_segment,priority_score,recommended_action,urgency_level,priority_rank
BRW-04407,0.1942,High Risk,0.8058,Field collection escalation,High,1
BRW-04975,0.2062,High Risk,0.7938,Field collection escalation,High,2
BRW-00560,0.2109,High Risk,0.7891,Field collection escalation,High,3
BRW-04416,0.2175,High Risk,0.7825,Field collection escalation,High,4
BRW-00347,0.2185,High Risk,0.7815,Field collection escalation,High,5
BRW-00627,0.2193,High Risk,0.7807,Field collection escalation,High,6
BRW-01486,0.2222,High Risk,0.7778,Field collection escalation,High,7
BRW-04350,0.2236,High Risk,0.7764,Field collection escalation,High,8
BRW-04719,0.2243,High Risk,0.7757,Field collection escalation,High,9
BRW-01770,0.235,High Risk,0.765,Field collection escalation,High,10
BRW-03989,0.2357,High Risk,0.7643,Field collection escalation,High,11
BRW-03201,0.2379,High Risk,0.7621,Field collection escalation,High,12
BRW-00182,0.2413,High Risk,0.7587,Field collection escalation,High,13
BRW-01676,0.2418,High Risk,0.7582,Field collection escalation,High,14
BRW-01377,0.2448,High Risk,0.7552,Field collection escalation,High,15
BRW-02469,0.2455,High Risk,0.7545,Field collection escalation,High,16
BRW-00526,0.2458,High Risk,0.7542,Field collection escalation,High,17
BRW-01037,0.2462,High Risk,0.7538,Field collection escalation,High,18
BRW-01691,0.2468,High Risk,0.7532,Field collection escalation,High,19
BRW-02307,0.2503,High Risk,0.7497,Field collection escalation,High,20
BRW-04977,0.2517,High Risk,0.7483,Field collection escalation,High,21
BRW-04956,0.253,High Risk,0.747,Field collection escalation,High,22
BRW-03662,0.2534,High Risk,0.7466,Field collection escalation,High,23
BRW-02546,0.2538,High Risk,0.7462,Field collection escalation,High,24
BRW-03059,0.2544,High Risk,0.7456,Field collection escalation,High,25
BRW-02767,0.2556,High Risk,0.7444,Field collection escalation,High,26
BRW-00430,0.2557,High Risk,0.7443,Field collection escalation,High,27
BRW-02033,0.2563,High Risk,0.7437,Field collection escalation,High,28
BRW-03328,0.2578,High Risk,0.7422,Field collection escalation,High,29
BRW-01099,0.2581,High Risk,0.7419,Field collection escalation,High,30
BRW-00531,0.2588,High Risk,0.7412,Field collection escalation,High,31
BRW-03364,0.26,High Risk,0.74,Field collection escalation,High,32
BRW-01353,0.2606,High Risk,0.7394,Field collection escalation,High,33
BRW-04460,0.2615,High Risk,0.7385,Field collection escalation,High,34
BRW-00815,0.2624,High Risk,0.7376,Field collection escalation,High,35
BRW-00967,0.2633,High Risk,0.7367,Field collection escalation,High,36
BRW-00388,0.264,High Risk,0.736,Field collection escalation,High,37
BRW-02713,0.2645,High Risk,0.7355,Field collection escalation,High,38
BRW-01950,0.2661,High Risk,0.7339,Field collection escalation,High,39
BRW-03171,0.2668,High Risk,0.7332,Field collection escalation,High,40
BRW-04153,0.2672,High Risk,0.7328,Field collection escalation,High,41
BRW-03242,0.2686,High Risk,0.7314,Field collection escalation,High,42
BRW-01177,0.2691,High Risk,0.7309,Field collection escalation,High,43
BRW-02100,0.2695,High Risk,0.7305,Field collection escalation,High,44
BRW-04182,0.2705,High Risk,0.7295,Field collection escalation,High,45
BRW-02622,0.2708,High Risk,0.7292,Field collection escalation,High,46
BRW-00080,0.2715,High Risk,0.7285,Field collection escalation,High,47
BRW-01216,0.2717,High Risk,0.7283,Field collection escalation,High,48
BRW-02192,0.2741,High Risk,0.7259,Field collection escalation,High,49
BRW-04752,0.2741,High Risk,0.7259,Field collection escalation,High,50
BRW-02172,0.2757,High Risk,0.7243,Field collection escalation,High,51
BRW-00697,0.276,High Risk,0.724,Field collection escalation,High,52
BRW-04097,0.277,High Risk,0.723,Field collection escalation,High,53
BRW-03729,0.2779,High Risk,0.7221,Field collection escalation,High,54
BRW-03046,0.2785,High Risk,0.7215,Field collection escalation,High,55
BRW-01782,0.2789,High Risk,0.7211,Field collection escalation,High,56
BRW-00614,0.2797,High Risk,0.7203,Field collection escalation,High,57
BRW-01669,0.28,High Risk,0.72,Field collection escalation,High,58
BRW-00216,0.28,High Risk,0.72,Field collection escalation,High,59
BRW-04123,0.2804,High Risk,0.7196,Field collection escalation,High,60
BRW-02093,0.2805,High Risk,0.7195,Field collection escalation,High,61
BRW-03475,0.2823,High Risk,0.7177,Field collection escalation,High,62
BRW-04586,0.2825,High Risk,0.7175,Field collection escalation,High,63
BRW-01193,0.2826,High Risk,0.7174,Field collection escalation,High,64
BRW-01990,0.283,High Risk,0.717,Field collection escalation,High,65
BRW-00116,0.2833,High Risk,0.7167,Field collection escalation,High,66
BRW-01695,0.2845,High Risk,0.7155,Field collection escalation,High,67
BRW-04367,0.2849,High Risk,0.7151,Field collection escalation,High,68
BRW-01329,0.2858,High Risk,0.7142,Field collection escalation,High,69
BRW-00918,0.2861,High Risk,0.7139,Field collection escalation,High,70
BRW-02949,0.2864,High Risk,0.7136,Field collection escalation,High,71
BRW-02533,0.2884,High Risk,0.7116,Field collection escalation,High,72
BRW-03544,0.2888,High Risk,0.7112,Field collection escalation,High,73
BRW-00013,0.2894,High Risk,0.7106,Field collection escalation,High,74
BRW-03607,0.2897,High Risk,0.7103,Field collection escalation,High,75
BRW-04292,0.2899,High Risk,0.7101,Field collection escalation,High,76
BRW-03537,0.29,High Risk,0.71,Field collection escalation,High,77
BRW-04018,0.2904,High Risk,0.7096,Field collection escalation,High,78
BRW-03789,0.2906,High Risk,0.7094,Field collection escalation,High,79
BRW-04720,0.2908,High Risk,0.7092,Field collection escalation,High,80
BRW-03953,0.2911,High Risk,0.7089,Field collection escalation,High,81
BRW-03137,0.2916,High Risk,0.7084,Field collection escalation,High,82
BRW-02193,0.2916,High Risk,0.7084,Field collection escalation,High,83
BRW-00733,0.2926,High Risk,0.7074,Field collection escalation,High,84
BRW-01255,0.2937,High Risk,0.7063,Field collection escalation,High,85
BRW-04259,0.2938,High Risk,0.7062,Field collection escalation,High,86
BRW-03993,0.2943,High Risk,0.7057,Field collection escalation,High,87
BRW-02514,0.2945,High Risk,0.7055,Field collection escalation,High,88
BRW-01648,0.2948,High Risk,0.7052,Field collection escalation,High,89
BRW-01008,0.2953,High Risk,0.7047,Field collection escalation,High,90
BRW-01155,0.2955,High Risk,0.7045,Field collection escalation,High,91
BRW-01870,0.2956,High Risk,0.7044,Field collection escalation,High,92
BRW-03135,0.2957,High Risk,0.7043,Field collection escalation,High,93
BRW-00034,0.296,High Risk,0.704,Field collection escalation,High,94
BRW-03468,0.2965,High Risk,0.7035,Field collection escalation,High,95
BRW-02361,0.2968,High Risk,0.7032,Field collection escalation,High,96
BRW-02860,0.2968,High Risk,0.7032,Field collection escalation,High,97
BRW-04829,0.2969,High Risk,0.7031,Field collection escalation,High,98
BRW-04021,0.2969,High Risk,0.7031,Field collection escalation,High,99
BRW-01567,0.2973,High Risk,0.7027,Field collection escalation,High,100
BRW-01519,0.2975,High Risk,0.7025,Field collection escalation,High,101
BRW-04843,0.2975,High Risk,0.7025,Field collection escalation,High,102
BRW-03094,0.2977,High Risk,0.7023,Field collection escalation,High,103
BRW-00706,0.2984,High Risk,0.7016,Field collection escalation,High,104
BRW-01561,0.2989,High Risk,0.7011,Field collection escalation,High,105
BRW-01873,0.2996,High Risk,0.7004,Field collection escalation,High,106
BRW-00776,0.2999,High Risk,0.7001,Field collection escalation,High,107
BRW-04895,0.3001,High Risk,0.6999,Field collection escalation,High,108
BRW-00090,0.3026,High Risk,0.6974,Field collection escalation,High,109
BRW-01217,0.3026,High Risk,0.6974,Field collection escalation,High,110
BRW-04023,0.3028,High Risk,0.6972,Field collection escalation,High,111
BRW-03885,0.3033,High Risk,0.6967,Field collection escalation,High,112
BRW-01354,0.3033,High Risk,0.6967,Field collection escalation,High,113
BRW-00375,0.3034,High Risk,0.6966,Field collection escalation,High,114
BRW-02895,0.3037,High Risk,0.6963,Field collection escalation,High,115
BRW-01757,0.304,High Risk,0.696,Field collection escalation,High,116
BRW-03232,0.3045,High Risk,0.6955,Field collection escalation,High,117
BRW-00051,0.3053,High Risk,0.6947,Field collection escalation,High,118
BRW-00668,0.3054,High Risk,0.6946,Field collection escalation,High,119
BRW-03697,0.3055,High Risk,0.6945,Field collection escalation,High,120
BRW-02914,0.3059,High Risk,0.6941,Field collection escalation,High,121
BRW-01828,0.306,High Risk,0.694,Field collection escalation,High,122
BRW-02094,0.306,High Risk,0.694,Field collection escalation,High,123
BRW-01559,0.306,High Risk,0.694,Field collection escalation,High,124
BRW-03762,0.3062,High Risk,0.6938,Field collection escalation,High,125
BRW-00109,0.3065,High Risk,0.6935,Field collection escalation,High,126
BRW-04069,0.307,High Risk,0.693,Field collection escalation,High,127
BRW-02961,0.3079,High Risk,0.6921,Field collection escalation,High,128
BRW-01403,0.308,High Risk,0.692,Field collection escalation,High,129
BRW-03034,0.308,High Risk,0.692,Field collection escalation,High,130
BRW-04104,0.3082,High Risk,0.6918,Field collection escalation,High,131
BRW-00665,0.3089,High Risk,0.6911,Field collection escalation,High,132
BRW-00339,0.309,High Risk,0.691,Field collection escalation,High,133
BRW-02708,0.309,High Risk,0.691,Field collection escalation,High,134
BRW-03495,0.3092,High Risk,0.6908,Field collection escalation,High,135
BRW-01939,0.3094,High Risk,0.6906,Field collection escalation,High,136
BRW-02781,0.3099,High Risk,0.6901,Field collection escalation,High,137
BRW-03300,0.3101,High Risk,0.6899,Field collection escalation,High,138
BRW-02044,0.3103,High Risk,0.6897,Field collection escalation,High,139
BRW-02291,0.3106,High Risk,0.6894,Field collection escalation,High,140
BRW-01609,0.3107,High Risk,0.6893,Field collection escalation,High,141
BRW-01190,0.3111,High Risk,0.6889,Field collection escalation,High,142
BRW-03451,0.3114,High Risk,0.6886,Field collection escalation,High,143
BRW-03619,0.3117,High Risk,0.6883,Field collection escalation,High,144
