borrower_id,risk_segment,recommended_action,compliance_status,violation_reason
BRW-04407,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-04975,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-00560,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-04416,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (6 >= 5)
BRW-00347,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00)
BRW-00627,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01486,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04350,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-04719,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01770,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03989,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (9 >= 5); Aggressive communication risk – excessive prior attempts
BRW-03201,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
BRW-00182,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (7 >= 5)
BRW-01676,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (8 >= 5); Aggressive communication risk – excessive prior attempts
BRW-01377,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-02469,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (5 >= 5)
BRW-00526,High Risk,Field collection escalation,FAIL,Outside allowed contact hours (08:00-20:00); Max contact attempts exceeded (10 >= 5); Aggressive communication risk – excessive prior attempts
