borrower_id,default_probability,repayment_probability,risk_tier,priority_score
BRW-00001,0.7544,0.2456,High Risk,36.95
BRW-00002,0.2938,0.7062,Low Risk,3.65
BRW-00003,0.0988,0.9012,Low Risk,0.0
BRW-00004,0.1577,0.8423,Low Risk,20.59
BRW-00005,0.075,0.925,Low Risk,0.0
BRW-00006,0.1633,0.8367,Low Risk,24.24
BRW-00007,0.1053,0.8947,Low Risk,20.32
BRW-00008,0.1592,0.8408,Low Risk,0.0
BRW-00009,0.1986,0.8014,Low Risk,0.0
BRW-00010,0.0992,0.9008,Low Risk,0.0
BRW-00011,0.1581,0.8419,Low Risk,0.0
BRW-00012,0.1115,0.8885,Low Risk,0.0
BRW-00013,0.0762,0.9238,Low Risk,0.0
BRW-00014,0.6471,0.3529,High Risk,77.26
BRW-00015,0.0408,0.9592,Low Risk,0.0
BRW-00016,0.2862,0.7138,Low Risk,50.5
BRW-00017,0.6079,0.3921,High Risk,76.18
BRW-00018,0.0893,0.9107,Low Risk,6.41
BRW-00019,0.3736,0.6264,Medium Risk,0.0
BRW-00020,0.3207,0.6793,Medium Risk,0.0
BRW-00021,0.0756,0.9244,Low Risk,0.0
BRW-00022,0.2559,0.7441,Low Risk,0.0
BRW-00023,0.8851,0.1149,Very High Risk,83.98
BRW-00024,0.2183,0.7817,Low Risk,0.0
BRW-00025,0.0788,0.9212,Low Risk,0.0
BRW-00026,0.1486,0.8514,Low Risk,22.17
BRW-00027,0.2143,0.7857,Low Risk,0.0
BRW-00028,0.1166,0.8834,Low Risk,0.0
BRW-00029,0.1302,0.8698,Low Risk,0.0
BRW-00030,0.1152,0.8848,Low Risk,0.0
BRW-00031,0.0481,0.9519,Low Risk,0.0
BRW-00032,0.73,0.27,High Risk,56.2
BRW-00033,0.0965,0.9035,Low Risk,22.19
BRW-00034,0.0678,0.9322,Low Risk,0.0
BRW-00035,0.1121,0.8879,Low Risk,0.0
BRW-00036,0.155,0.845,Low Risk,0.0
BRW-00037,0.0668,0.9332,Low Risk,13.44
BRW-00038,0.1466,0.8534,Low Risk,0.0
BRW-00039,0.3028,0.6972,Medium Risk,0.0
BRW-00040,0.1117,0.8883,Low Risk,0.0
BRW-00041,0.1408,0.8592,Low Risk,25.8
