borrower_id,age,employment_status,monthly_income,credit_score,loan_amount,interest_rate,loan_tenure_months,days_past_due,number_of_missed_payments,contact_response_rate,prior_collection_attempts,preferred_contact_channel,region,customer_tenure,emi_amount,last_payment_amount,outstanding_balance,repayment_status,recovered
BRW-00001,59,Self-Employed,57296.1,690,491297.48,10.1,24,75,3,0.2,2,SMS,North,111,22693.57,1710.7,387937.07,Late,0
BRW-00002,49,Self-Employed,42067.91,819,243349.01,9.4,48,103,8,0.56,3,Phone,North,106,6102.08,4683.29,176755.32,Defaulted,1
BRW-00003,35,Employed,49458.41,576,89449.52,14.61,60,53,0,0.29,2,Phone,West,66,2109.73,532.2,55698.61,Late,0
BRW-00004,63,Self-Employed,70008.85,501,60636.88,11.0,24,122,3,0.32,7,Phone,North,85,2826.15,2914.96,28262.84,Defaulted,0
BRW-00005,28,Employed,13140.11,513,141935.53,12.34,60,43,10,0.49,6,WhatsApp,Central,34,3181.72,2755.37,137308.73,Late,0
BRW-00006,41,Self-Employed,51204.24,777,289026.59,15.28,12,105,0,0.44,4,Email,Central,83,26125.25,24010.25,80160.43,Defaulted,1
BRW-00007,59,Employed,77033.8,807,473934.6,11.39,12,179,11,0.31,4,WhatsApp,South,104,41973.39,14426.53,389708.89,Defaulted,0
BRW-00008,39,Self-Employed,49230.51,374,156590.89,11.56,60,41,12,0.37,3,WhatsApp,East,38,3448.56,2619.75,67444.89,Late,0
BRW-00009,43,Employed,69758.59,441,159641.67,21.25,12,55,8,0.38,4,Email,Central,31,14884.0,9432.0,124188.63,Late,0
BRW-00010,31,Self-Employed,35561.82,621,245778.03,16.54,6,56,7,0.01,4,WhatsApp,East,26,42961.67,13839.77,60785.56,Late,1
BRW-00011,31,Employed,44519.29,760,460085.74,21.64,60,90,7,0.33,3,SMS,South,76,12613.07,12293.59,200585.37,Late,1
BRW-00012,44,Employed,45502.87,445,215336.97,15.99,6,103,6,0.37,4,Phone,South,94,37581.75,24802.08,204899.95,Defaulted,1
BRW-00013,56,Employed,11736.13,353,119382.4,22.5,60,1,8,0.47,6,WhatsApp,East,26,3331.24,762.67,71816.36,Late,0
BRW-00014,60,Employed,27477.33,655,89934.15,11.7,36,78,10,0.43,8,WhatsApp,West,63,2974.23,1089.45,48755.47,Late,0
BRW-00015,44,Unemployed,28546.87,576,233937.53,17.68,36,91,10,0.16,6,Phone,East,48,8419.9,2294.67,181745.19,Defaulted,0
BRW-00016,23,Employed,57330.99,699,402331.94,15.8,24,71,12,0.17,0,Phone,Central,95,19661.0,7370.51,191247.8,Late,1
BRW-00017,42,Retired,58082.3,815,152762.68,22.66,12,74,2,0.07,8,Email,East,112,14346.3,3239.44,83060.44,Late,1
BRW-00018,22,Retired,49860.55,798,261136.09,14.4,36,2,6,0.1,2,SMS,Central,79,8975.83,3997.54,157868.85,Late,1
BRW-00019,44,Self-Employed,57361.54,610,305474.05,21.6,12,34,5,0.37,1,Phone,Central,10,28531.88,23760.77,302721.19,Late,1
